folder,accuracy,precision,recall,f1,roc_auc,r2_score
2025-12-28_20-59-46_url_embed_fc64_binary_v1,0.7910250596423432,0.6739221431561323,0.14085739282589677,0.23301251899558578,0.6670694561713726,0.08981966972351074
2025-12-28_21-06-08_url_embed_fc128_fc64_binary_v2,0.8008438652181629,0.7343915343915344,0.18215223097112862,0.2919032597266036,0.7149314297865024,0.1386968493461609
2025-12-29_00-57-10_url_embed_fc64_fc64_fc64_v3,0.7937656499536663,0.6868258859784283,0.15599300087489062,0.2542421217738486,0.6740138908735316,0.09996509552001953
2025-12-29_01-08-07_url_embed_deepfc64_nonlinear_test_v4,0.7919714505412173,0.6822895064288677,0.14391951006124235,0.2376995881800448,0.6713224815184391,0.09572046995162964
2025-12-29_01-31-52_url_embed_flat_mlp512_256_128_64_binary_v5,0.9518326465427157,0.8974086848854692,0.8877515310586177,0.8925539868936095,0.9781262175769224,0.7491445541381836
2025-12-29_01-50-33_url_embed_contracting_512_256_128_binary_binary_v6,0.9498215658826081,0.9067106106381031,0.8664916885389327,0.8861450364604304,0.9759994321193954,0.7432875633239746
2025-12-29_02-12-28_url_embed_flat_mlp512_256_ln_gelu_128_head_binary_v7,0.8377925432283759,0.7596886654775418,0.4098862642169729,0.5324771267829743,0.8407786985406636,0.31873512268066406
2025-12-29_02-19-43_url_embed_flat_mlp512_256_do_gelu_128_head_binary_v8,0.9580433368165776,0.9387735849056604,0.8706036745406824,0.9034044484793463,0.984692668303326,0.8068335652351379
2025-12-29_02-29-17_url_embed_flat_mlp512_256_do025_gelu_128_head_binary_v9,0.9564068692206077,0.9298703720973608,0.8723534558180227,0.900194104635941,0.9835045837842897,0.7921135425567627
2025-12-29_02-40-58_url_embed_flat_mlp512_256_nodrop_gelu_128_head_binary_v10,0.8294524734320472,0.7409012131715771,0.37401574803149606,0.49709302325581395,0.8251360730065274,0.2885827422142029
2025-12-29_02-45-13_url_embed_flat_mlp512_256_gelu_no_norm_no_drop_128_head_binary_v11,0.805063191308977,0.7425337944042754,0.20664916885389326,0.32331804804599273,0.7374395385412273,0.16484010219573975
2025-12-29_02-59-18_url_embed_flat_mlp512_256_ln_gelu_128_head_binary_v12,0.9498215658826081,0.9067106106381031,0.8664916885389327,0.8861450364604304,0.9759994321193954,0.7432875633239746
2025-12-29_03-07-19_url_embed_cnn128_256_128_64_flat_mlp512_256_ln_gelu_128_head_binary_v13,0.828170902423155,0.7363747170468397,0.3699912510936133,0.49251732370581724,0.811908975343823,0.26902514696121216
2025-12-29_03-20-07_url_embed_cnn128_64_32_flat_mlp512_256_ln_gelu_128_head_binary_v14,0.8247796683688559,0.7463669831428018,0.33700787401574805,0.46434814055813395,0.8168216324699086,0.27245384454727173
2025-12-29_19-19-14_url_embed_cnn128_64_32_flat_mlp512_256_ln_gelu_128_head_binary_less_aggrecive_weight_decayv15,0.8262978371024665,0.7628410914927769,0.3326334208223972,0.46326306811258683,0.8204628857112783,0.2767053246498108
2025-12-29_19-33-17_url_embed_residual_dws_cnn128_64_32_flat_mlp512_256_ln_gelu_128_head_binary_v15,0.7919714505412173,0.7955615332885003,0.10349956255468067,0.18316946659441047,0.6913292579182013,0.10689914226531982
2025-12-29_19-53-08_url_embed_residual_stride_cnn128_64_32_ds_flat_mlp512_256_ln_gelu_do50_128_head_binary_v16.1,0.9789033695459295,0.9687782805429864,0.9365704286964129,0.9524021352313167,0.9948123944228522,0.9018598794937134
2025-12-29_20-04-18_url_embed_residual_stride_cnn128_64_ds_flat_mlp512_256_ln_gelu_128_head_binary_v17,0.8236952621305625,0.7611251049538204,0.3172353455818023,0.4478201803136964,0.8129712696994857,0.26508480310440063
2025-12-29_20-15-57_url_embed_residual_stride_cnn128_64_ds_flat_mlp256_128_ln_gelu_head_binary_v18,0.8243459058735385,0.7991929741277,0.294575678040245,0.4304800869398453,0.8068974334633633,0.2605123519897461
2025-12-29_20-22-32_url_embed_residual_stride_cnn128_64_gap_mlp256_128_ln_gelu_head_binary_v19,0.8124765866834914,0.7969668833178583,0.22528433945756782,0.351272082395471,0.7352766264623143,0.18007665872573853
2025-12-29_20-59-40_url_embed_residual_stride_cnn128_64_flat_fc128_head_binary_v20,0.7949486385772591,0.6937547027840482,0.16132983377077864,0.2617830777967064,0.6879668433616635,0.11081045866012573
2025-12-29_21-22-30_url_embed_residual_dilated_stride_cnn128_64_flat_mlp256_128_ln_gelu_do25_head_binary_v21,0.9778386797846961,0.9742315479477268,0.926159230096238,0.9495873699318264,0.9944774323797985,0.8947389125823975
2025-12-29_21-50-23_url_embed_residual_dilated_gn_stride_cnn128_64_1do25_flat_mlp256_128_ln_gelu_head_binary_v22,0.9795540132889056,0.9749565853212686,0.9332458442694663,0.9536453444191141,0.9955628721789654,0.9067745208740234
2025-12-29_22-01-28_tempv1010.1,0.8005481180622647,0.7084390862944162,0.19536307961504812,0.30626800164586476,0.7241642961737624,0.14561814069747925
2025-12-29_22-03-28_tempv1010.25,0.8054378043731146,0.7147964796479648,0.22738407699037622,0.34501526616221956,0.7511458620104465,0.175373375415802
2025-12-29_22-09-18_tempv1020.1,0.7970188686685463,0.6949501889385091,0.17699037620297464,0.2821281640052995,0.7171257721484958,0.13409632444381714
2025-12-29_22-10-47_tempv1020.25,0.8049843254007374,0.7254614708467624,0.21662292213473316,0.33362527790877855,0.7391591176201602,0.16555625200271606
2025-12-29_22-14-41_tempv1030.1,0.8013959265758395,0.7413731768054074,0.18232720909886263,0.29267607611825014,0.7191836568228611,0.14551472663879395
2025-12-29_22-15-40_tempv1030.25,0.8023226009976537,0.7536127167630058,0.18250218722659667,0.29384420340893086,0.7226768807682542,0.14971917867660522
2025-12-29_22-21-16_tempv1040.1,0.8009424476034622,0.7371977240398293,0.18136482939632545,0.2911107990450779,0.7138527216282545,0.13797122240066528
2025-12-29_22-22-32_tempv1040.25,0.8060490151619708,0.7673716012084593,0.2,0.3173016864459713,0.7393083371450722,0.16807681322097778
